"state","puma2k","puma12","stab","PUMAname","PUMA2kName","intptlon","intptlat","pop10","afact","AFACT2"
"FIPS state","puma2k","puma12","State Postal Code","PUMA12 Name","PUMA 2K Name","Wtd centroid W longitude, degrees","Wtd centroid latitude, degrees","Total Pop, 2010 census","puma2k to puma12 alloc factor","puma12 to puma2k alloc factor"
"04","00900","00800","AZ","Gila, Graham, Greenlee & Pinal (East) Counties","0400900",-109.708327,32.886377,45657,0.203442,0.414634 
"04","00900","00900","AZ","Cochise & Santa Cruz Counties--Sierra Vista City","0400900",-110.296586,31.561567,178766,0.796558,1 
"05","00100","00100","AR","Benton County","0500100",-94.230498,36.337348,221339,0.99958,1 
"05","00100","00200","AR","Washington County","0500100",-94.015348,36.223437,93,0.00042,0.000458 
"05","00200","00200","AR","Washington County","0500200",-94.172255,36.094216,202972,1,0.999542 
"05","00300","00300","AR","Baxter, Boone, Carroll, Marion, Madison, Newton & Searcy Counties","0500300",-92.991289,36.251105,154757,1,1 
"05","00400","00400","AR","Independence, Cleburne, Van Buren, Sharp, Izard, Stone & Fulton Counties","0500400",-91.875726,35.839157,135509,1,0.999985 
"05","00500","00500","AR","Craighead (West), Greene, Randolph, Lawrence & Clay Counties","0500500",-90.691319,36.00993,180287,0.948879,1 
"05","00500","00600","AR","Crittenden, Mississippi & Craighead (East) Counties","0500500",-90.436542,35.800066,9713,0.051121,0.090695 
"05","00600","00600","AR","Crittenden, Mississippi & Craighead (East) Counties","0500600",-90.113083,35.49501,97382,1,0.909305 
"05","00700","00700","AR","St. Francis, Poinsett, Phillips, Cross, Lee & Monroe Counties","0500700",-90.707646,35.070733,102892,1,0.926612 
"05","00800","00700","AR","St. Francis, Poinsett, Phillips, Cross, Lee & Monroe Counties","0500800",-91.217999,34.777729,8149,0.068366,0.073387 
"05","00800","00800","AR","White, Jackson, Prairie & Woodruff Counties","0500800",-91.63103,35.274025,111048,0.931634,1 
"05","00900","00900","AR","Pulaski County (Outer)--North Little Rock, Sherwood & Jacksonville Cities","0500900",-92.403001,34.74001,10307,0.053541,0.052128 
"05","00900","01000","AR","Pulaski County (Central)--Little Rock City","0500900",-92.365002,34.733237,182199,0.946458,0.984742 
"05","01000","00900","AR","Pulaski County (Outer)--North Little Rock, Sherwood & Jacksonville Cities","0501000",-92.254684,34.815867,187419,0.985161,0.947872 
"05","01000","01000","AR","Pulaski County (Central)--Little Rock City","0501000",-92.313481,34.711458,2823,0.014839,0.015258 
"05","01100","01100","AR","Faulkner & Lonoke Counties","0501100",-92.241706,35.029732,181593,0.628978,1 
"05","01100","01200","AR","Saline County","0501100",-92.546179,34.593233,107118,0.371022,1 
"05","01200","00400","AR","Independence, Cleburne, Van Buren, Sharp, Izard, Stone & Fulton Counties","0501200",-92.510036,35.456117,2,0.000014,0.000015 
"05","01200","01300","AR","Pope, Johnson, Yell, Conway & Perry Counties","0501200",-93.113103,35.272706,141197,0.999986,1 
"05","01300","01400","AR","Sebastian & Crawford Counties","0501300",-94.331321,35.377171,187692,1,1 
"05","01400","01500","AR","Logan, Polk, Franklin, Sevier, Howard & Scott Counties","0501400",-94.030081,34.722776,103216,1,0.999961 
"05","01500","01500","AR","Logan, Polk, Franklin, Sevier, Howard & Scott Counties","0501500",-93.932142,34.579478,4,0.000025,0.000039 
"05","01500","01600","AR","Garland, Hot Spring, Clark & Montgomery Counties","0501500",-93.081557,34.416838,161429,0.999975,1 
"05","01600","01700","AR","Jefferson, Grant & Arkansas (Northwest) Counties","0501600",-92.051034,34.272814,106729,0.933704,1 
"05","01600","01800","AR","Southeast Arkansas","0501600",-91.322649,34.28903,7578,0.066295,0.07077 
"05","01700","01800","AR","Southeast Arkansas","0501700",-91.762215,33.579739,99501,1,0.92923 
"05","01800","01900","AR","South Central Arkansas","0501800",-92.816092,33.37981,105795,1,1 
"05","01900","02000","AR","Southwest Arkansas","0501900",-93.814657,33.602452,107175,1,1 
"06","00100","01500","CA","Del Norte, Lassen, Modoc, Plumas & Siskiyou Counties","0600100",-122.179982,41.274095,118091,1,0.855124 
"06","00200","02300","CA","Humboldt County","0600200",-124.087225,40.752982,134623,1,1 
"06","00300","08900","CA","Shasta County--Redding City","0600300",-122.299786,40.580269,177223,1,1 
"06","00400","03300","CA","Lake & Mendocino Counties","0600400",-123.116475,39.15305,152506,1,1 
